crossover,mutation,random,copy,parent_selection,should_prune,last_gen
0.75,0.1,0.1,0.05,0.2,True,353
0.75,0.1,0.1,0.05,0.2,True,5
0.75,0.1,0.1,0.05,0.2,True,402
0.75,0.1,0.1,0.05,0.2,True,381
0.75,0.1,0.1,0.05,0.2,True,169
0.75,0.1,0.1,0.05,0.2,True,5
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,10
0.75,0.1,0.1,0.05,0.2,True,30
0.75,0.1,0.1,0.05,0.2,True,74
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,254
0.75,0.1,0.1,0.05,0.2,True,86
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,472
0.75,0.1,0.1,0.05,0.2,True,160
0.75,0.1,0.1,0.05,0.2,True,50
0.1,0.75,0.1,0.05,0.2,True,4
0.1,0.75,0.1,0.05,0.2,True,5
0.1,0.75,0.1,0.05,0.2,True,4
0.1,0.75,0.1,0.05,0.2,True,6
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,94
0.1,0.75,0.1,0.05,0.2,True,401
0.1,0.75,0.1,0.05,0.2,True,81
0.1,0.75,0.1,0.05,0.2,True,4
0.1,0.75,0.1,0.05,0.2,True,439
0.1,0.75,0.1,0.05,0.2,True,4
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,229
0.1,0.75,0.1,0.05,0.2,True,3
0.1,0.75,0.1,0.05,0.2,True,458
0.1,0.75,0.1,0.05,0.2,True,8
0.1,0.75,0.1,0.05,0.2,True,5
0.1,0.75,0.1,0.05,0.2,True,6
0.1,0.75,0.1,0.05,0.2,True,172
0.1,0.75,0.1,0.05,0.2,True,87
0.1,0.1,0.75,0.05,0.2,True,37
0.1,0.1,0.75,0.05,0.2,True,19
0.1,0.1,0.75,0.05,0.2,True,13
0.1,0.1,0.75,0.05,0.2,True,8
0.1,0.1,0.75,0.05,0.2,True,57
0.1,0.1,0.75,0.05,0.2,True,44
0.1,0.1,0.75,0.05,0.2,True,154
0.1,0.1,0.75,0.05,0.2,True,6
0.1,0.1,0.75,0.05,0.2,True,5
0.1,0.1,0.75,0.05,0.2,True,5
0.1,0.1,0.75,0.05,0.2,True,14
0.1,0.1,0.75,0.05,0.2,True,11
0.1,0.1,0.75,0.05,0.2,True,49
0.1,0.1,0.75,0.05,0.2,True,4
0.1,0.1,0.75,0.05,0.2,True,8
