crossover,mutation,random,copy,parent_selection,should_prune,last_gen
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,203
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,66
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,79
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,137
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,500
0.75,0.1,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,31
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,67
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,82
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,500
0.1,0.75,0.1,0.05,0.2,True,495
0.1,0.1,0.75,0.05,0.2,True,500
0.1,0.1,0.75,0.05,0.2,True,500
0.1,0.1,0.75,0.05,0.2,True,500
0.1,0.1,0.75,0.05,0.2,True,500
0.1,0.1,0.75,0.05,0.2,True,500
0.1,0.1,0.75,0.05,0.2,True,500
0.1,0.1,0.75,0.05,0.2,True,500
0.1,0.1,0.75,0.05,0.2,True,500
0.1,0.1,0.75,0.05,0.2,True,52
0.1,0.1,0.75,0.05,0.2,True,500
0.1,0.1,0.75,0.05,0.2,True,500
0.1,0.1,0.75,0.05,0.2,True,500
0.1,0.1,0.75,0.05,0.2,True,500
0.1,0.1,0.75,0.05,0.2,True,207
0.1,0.1,0.75,0.05,0.2,True,500
0.1,0.1,0.75,0.05,0.2,True,68
0.1,0.1,0.75,0.05,0.2,True,500
0.1,0.1,0.75,0.05,0.2,True,500
0.1,0.1,0.75,0.05,0.2,True,500
0.1,0.1,0.75,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,18
0.45,0.45,0.05,0.05,0.2,True,137
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,215
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.45,0.05,0.05,0.2,True,500
0.45,0.05,0.45,0.05,0.2,True,500
0.45,0.05,0.45,0.05,0.2,True,500
0.45,0.05,0.45,0.05,0.2,True,500
0.45,0.05,0.45,0.05,0.2,True,500
0.45,0.05,0.45,0.05,0.2,True,500
0.45,0.05,0.45,0.05,0.2,True,500
0.45,0.05,0.45,0.05,0.2,True,500
0.45,0.05,0.45,0.05,0.2,True,500
0.45,0.05,0.45,0.05,0.2,True,500
0.45,0.05,0.45,0.05,0.2,True,436
0.45,0.05,0.45,0.05,0.2,True,500
0.45,0.05,0.45,0.05,0.2,True,500
0.45,0.05,0.45,0.05,0.2,True,500
0.45,0.05,0.45,0.05,0.2,True,500
0.45,0.05,0.45,0.05,0.2,True,378
0.45,0.05,0.45,0.05,0.2,True,500
0.45,0.05,0.45,0.05,0.2,True,500
0.45,0.05,0.45,0.05,0.2,True,500
0.45,0.05,0.45,0.05,0.2,True,500
0.45,0.05,0.45,0.05,0.2,True,500
0.05,0.45,0.45,0.05,0.2,True,500
0.05,0.45,0.45,0.05,0.2,True,500
0.05,0.45,0.45,0.05,0.2,True,500
0.05,0.45,0.45,0.05,0.2,True,500
0.05,0.45,0.45,0.05,0.2,True,500
0.05,0.45,0.45,0.05,0.2,True,500
0.05,0.45,0.45,0.05,0.2,True,500
0.05,0.45,0.45,0.05,0.2,True,500
0.05,0.45,0.45,0.05,0.2,True,500
0.05,0.45,0.45,0.05,0.2,True,500
0.05,0.45,0.45,0.05,0.2,True,500
0.05,0.45,0.45,0.05,0.2,True,500
0.05,0.45,0.45,0.05,0.2,True,500
0.05,0.45,0.45,0.05,0.2,True,500
